,name,lobby_image_right,lobby_image_left,small_img,ban_img,voice
Veigar,베이가,http://39.118.174.168:8000/champ_image/right/베이가.png,http://39.118.174.168:8000/champ_image/left/베이가.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Veigar.png,http://39.118.174.168:8000/champ_image/long_image_noColor/베이가.jpg,Veigar.mp3
Vayne,베인,http://39.118.174.168:8000/champ_image/right/베인.png,http://39.118.174.168:8000/champ_image/left/베인.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Vayne.png,http://39.118.174.168:8000/champ_image/long_image_noColor/베인.jpg,Vayne.mp3
Velkoz,벨코즈,http://39.118.174.168:8000/champ_image/right/벨코즈.png,http://39.118.174.168:8000/champ_image/left/벨코즈.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Velkoz.png,http://39.118.174.168:8000/champ_image/long_image_noColor/벨코즈.jpg,Velkoz.mp3
Volibear,볼리베어,http://39.118.174.168:8000/champ_image/right/볼리베어.png,http://39.118.174.168:8000/champ_image/left/볼리베어.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Volibear.png,http://39.118.174.168:8000/champ_image/long_image_noColor/볼리베어.jpg,Volibear.mp3
Braum,브라움,http://39.118.174.168:8000/champ_image/right/브라움.png,http://39.118.174.168:8000/champ_image/left/브라움.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Braum.png,http://39.118.174.168:8000/champ_image/long_image_noColor/브라움.jpg,Braum.mp3
Brand,브랜드,http://39.118.174.168:8000/champ_image/right/브랜드.png,http://39.118.174.168:8000/champ_image/left/브랜드.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Brand.png,http://39.118.174.168:8000/champ_image/long_image_noColor/브랜드.jpg,Brand.mp3
Vladimir,블라디미르,http://39.118.174.168:8000/champ_image/right/블라디미르.png,http://39.118.174.168:8000/champ_image/left/블라디미르.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Vladimir.png,http://39.118.174.168:8000/champ_image/long_image_noColor/블라디미르.jpg,Vladimir.mp3
Blitzcrank,블리츠크랭크,http://39.118.174.168:8000/champ_image/right/블리츠크랭크.png,http://39.118.174.168:8000/champ_image/left/블리츠크랭크.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Blitzcrank.png,http://39.118.174.168:8000/champ_image/long_image_noColor/블리츠크랭크.jpg,Blitzcrank.mp3
Viego,비에고,http://39.118.174.168:8000/champ_image/right/비에고.png,http://39.118.174.168:8000/champ_image/left/비에고.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Viego.png,http://39.118.174.168:8000/champ_image/long_image_noColor/비에고.jpg,Viego.mp3
Viktor,빅토르,http://39.118.174.168:8000/champ_image/right/빅토르.png,http://39.118.174.168:8000/champ_image/left/빅토르.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Viktor.png,http://39.118.174.168:8000/champ_image/long_image_noColor/빅토르.jpg,Viktor.mp3
Poppy,뽀삐,http://39.118.174.168:8000/champ_image/right/뽀삐.png,http://39.118.174.168:8000/champ_image/left/뽀삐.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Poppy.png,http://39.118.174.168:8000/champ_image/long_image_noColor/뽀삐.jpg,Poppy.mp3
Samira,사미라,http://39.118.174.168:8000/champ_image/right/사미라.png,http://39.118.174.168:8000/champ_image/left/사미라.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Samira.png,http://39.118.174.168:8000/champ_image/long_image_noColor/사미라.jpg,Samira.mp3
Sion,사이온,http://39.118.174.168:8000/champ_image/right/사이온.png,http://39.118.174.168:8000/champ_image/left/사이온.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Sion.png,http://39.118.174.168:8000/champ_image/long_image_noColor/사이온.jpg,Sion.mp3
Sylas,사일러스,http://39.118.174.168:8000/champ_image/right/사일러스.png,http://39.118.174.168:8000/champ_image/left/사일러스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Sylas.png,http://39.118.174.168:8000/champ_image/long_image_noColor/사일러스.jpg,Sylas.mp3
Shaco,샤코,http://39.118.174.168:8000/champ_image/right/샤코.png,http://39.118.174.168:8000/champ_image/left/샤코.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Shaco.png,http://39.118.174.168:8000/champ_image/long_image_noColor/샤코.jpg,Shaco.mp3
Senna,세나,http://39.118.174.168:8000/champ_image/right/세나.png,http://39.118.174.168:8000/champ_image/left/세나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Senna.png,http://39.118.174.168:8000/champ_image/long_image_noColor/세나.jpg,Senna.mp3
Seraphine,세라핀,http://39.118.174.168:8000/champ_image/right/세라핀.png,http://39.118.174.168:8000/champ_image/left/세라핀.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Seraphine.png,http://39.118.174.168:8000/champ_image/long_image_noColor/세라핀.jpg,Seraphine.mp3
Sejuani,세주아니,http://39.118.174.168:8000/champ_image/right/세주아니.png,http://39.118.174.168:8000/champ_image/left/세주아니.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Sejuani.png,http://39.118.174.168:8000/champ_image/long_image_noColor/세주아니.jpg,Sejuani.mp3
Sett,세트,http://39.118.174.168:8000/champ_image/right/세트.png,http://39.118.174.168:8000/champ_image/left/세트.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Sett.png,http://39.118.174.168:8000/champ_image/long_image_noColor/세트.jpg,Sett.mp3
Sona,소나,http://39.118.174.168:8000/champ_image/right/소나.png,http://39.118.174.168:8000/champ_image/left/소나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Sona.png,http://39.118.174.168:8000/champ_image/long_image_noColor/소나.jpg,Sona.mp3
Soraka,소라카,http://39.118.174.168:8000/champ_image/right/소라카.png,http://39.118.174.168:8000/champ_image/left/소라카.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Soraka.png,http://39.118.174.168:8000/champ_image/long_image_noColor/소라카.jpg,Soraka.mp3
Shen,쉔,http://39.118.174.168:8000/champ_image/right/쉔.png,http://39.118.174.168:8000/champ_image/left/쉔.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Shen.png,http://39.118.174.168:8000/champ_image/long_image_noColor/쉔.jpg,Shen.mp3
Shyvana,쉬바나,http://39.118.174.168:8000/champ_image/right/쉬바나.png,http://39.118.174.168:8000/champ_image/left/쉬바나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Shyvana.png,http://39.118.174.168:8000/champ_image/long_image_noColor/쉬바나.jpg,Shyvana.mp3
Swain,스웨인,http://39.118.174.168:8000/champ_image/right/스웨인.png,http://39.118.174.168:8000/champ_image/left/스웨인.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Swain.png,http://39.118.174.168:8000/champ_image/long_image_noColor/스웨인.jpg,Swain.mp3
Skarner,스카너,http://39.118.174.168:8000/champ_image/right/스카너.png,http://39.118.174.168:8000/champ_image/left/스카너.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Skarner.png,http://39.118.174.168:8000/champ_image/long_image_noColor/스카너.jpg,Skarner.mp3
Sivir,시비르,http://39.118.174.168:8000/champ_image/right/시비르.png,http://39.118.174.168:8000/champ_image/left/시비르.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Sivir.png,http://39.118.174.168:8000/champ_image/long_image_noColor/시비르.jpg,Sivir.mp3
XinZhao,신 짜오,http://39.118.174.168:8000/champ_image/right/신 짜오.png,http://39.118.174.168:8000/champ_image/left/신 짜오.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/XinZhao.png,http://39.118.174.168:8000/champ_image/long_image_noColor/신 짜오.jpg,XinZhao.mp3
Syndra,신드라,http://39.118.174.168:8000/champ_image/right/신드라.png,http://39.118.174.168:8000/champ_image/left/신드라.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Syndra.png,http://39.118.174.168:8000/champ_image/long_image_noColor/신드라.jpg,Syndra.mp3
